number,BodyLength
1,262.88
2,226.25
3,191.49
4,230.91
5,246.74
6,239.15
7,213.9
8,236.54
9,265.64
10,180.9
11,302.08
12,252.77
13,290.2
14,253.1
15,239.92
16,251.8
17,227.89
18,187.32
19,239.23
20,268.54
21,226.69
22,250.47
23,219.91
24,265.56
25,235.63
26,259.44
27,276.04
28,304.72
29,297.19
30,257.54
31,180.44
32,242.73
33,225.81
34,235.95
35,255.71
36,253.17
37,227.87
38,258.68
39,275.39
40,261.58
41,202.7
42,261.51
43,225.76
44,220.42
45,217.66
46,224.88
47,211.86
48,204.27
49,183.82
50,203.82
51,188.79
52,206.17
53,204.72
54,205.5
55,248.55
56,233.09
57,236.02
58,217.96
59,197.82
60,210.13
61,298.42
62,256.06
63,314.01
64,322.71
65,296.18
66,342.83
67,307.53
68,278.1
69,235.14
70,341.04
71,324.33
72,317.78
73,318.92
74,250.12
75,323.02
76,290.92
77,287.71
78,333.9
79,235.94
80,254.61
81,298.42
82,256.06
83,314.01
84,322.71
85,296.18
86,342.83
87,307.53
88,278.1
89,235.14
90,341.04
91,324.33
92,317.78
93,318.92
94,250.12
95,323.02
96,290.92
97,287.71
98,333.9
99,235.94
100,254.61
101,343.36
102,316.15
103,334.05
104,302.24
105,331.8
106,340.55
107,317.45
108,342.35
109,303.26
110,328.34
111,338.11
112,325.01
113,288.65
114,301.88
115,292.25
116,358.99
117,322.65
118,303.72
119,322.28
120,355.92